Harga Produk,Jumlah Terjual,Jumlah Ulasan,Kategori,Nama Produk,Rating,Rating Produk,Tanggal Komentar,Teks Ulasan,Username,Panjang Ulasan (karakter),Panjang Ulasan (kata)
154.000,50.0,20.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2024-07-30 18:04:09.701679,bagus,N***y,5,1
154.000,50.0,3.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2025-05-08 18:04:09.701684,Mantul selalu berlangganan,Q***h,26,3
154.000,50.0,5.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2025-04-13 18:04:09.701688,Mantap,a***9,6,1
154.000,50.0,19.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2025-01-29 18:04:09.701692,Ok,A***y,2,1
154.000,50.0,7.0,7,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,5.0,4.9,2025-05-12 18:04:09.701697,Bgus,W***l,4,1
84.000,50.0,9.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2024-09-15 18:04:09.701702,Kualitas produk: bagus,T***S,22,3
84.000,50.0,7.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2024-08-13 18:04:09.701706,good,e***y,4,1
84.000,50.0,18.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2024-10-08 18:04:09.701711,Bagus,U***t,5,1
84.000,50.0,4.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2025-04-30 18:04:09.701715,Bagus,y***o,5,1
84.000,50.0,14.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2024-12-07 18:04:09.701720,Bagus,A***i,5,1
84.000,50.0,18.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2025-06-18 18:04:09.701724,Oke,Q***f,3,1
84.000,50.0,9.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2025-05-29 18:04:09.701728,Oke,p***0,3,1
84.000,50.0,2.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2025-04-22 18:04:09.701733,Mantap,T***S,6,1
84.000,50.0,20.0,1,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,5.0,4.9,2024-12-14 18:04:09.701737,ok,R***M,2,1
221.000,70.0,15.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2025-04-20 18:04:09.701741,Barang sampai dengan selamat & kualitasnya tidak diragukan,D***w,58,8
221.000,70.0,7.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2025-06-03 18:04:09.701748,"Bahan adem, ukuran pas dan cepat sampe",A***4,38,7
221.000,70.0,12.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2024-10-17 18:04:09.701753,"Bahannya bagus, sampai tepat waktu.",V***v,35,5
221.000,70.0,8.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2024-10-14 18:04:09.701757,Cocok dengan harganya,W***d,21,3
221.000,70.0,15.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2024-07-25 18:04:09.701762,Gak perlu diragukan lagi,u***3,24,4
221.000,70.0,3.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2025-06-10 18:04:09.701766,Bagus sesuai,A***u,12,2
221.000,70.0,14.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2024-10-25 18:04:09.701771,bagus,Y***u,5,1
221.000,70.0,17.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2025-03-19 18:04:09.701776,bagus,G***z,5,1
221.000,70.0,4.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2025-07-05 18:04:09.701780,K,C***u,1,1
221.000,70.0,18.0,9,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,5.0,4.9,2025-04-27 18:04:09.701784,Mantaap erigooo,E***f,15,2
84.000,80.0,8.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2024-09-26 18:04:09.701789,"terima kasih, langganan beli kaos di sini, cepat kering kalo di cuci",G***I,68,12
84.000,80.0,4.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2025-04-05 18:04:09.701793,Bahannya bagus dan ukurannya sesuai,a***1,35,5
84.000,80.0,2.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2025-02-23 18:04:09.701797,bagus pas dicoba. terimakasih ya sudah dicoba dan cocok,Zulkarnaen,55,9
84.000,80.0,6.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2025-04-10 18:04:09.701802,Erigo top mantap is the best !!!,L***_,32,7
84.000,80.0,10.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2025-06-29 18:04:09.701806,"PENJUAL TDK TELITI, BRG TDK TERKIRIM",a***s,36,6
84.000,80.0,4.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2024-08-13 18:04:09.701810,Bahan y adem,T***S,12,3
84.000,80.0,18.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2024-09-26 18:04:09.701814,Kainnya tidak setebal baju yang pernah saya order disini,y***_,56,9
84.000,80.0,12.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2024-09-26 18:04:09.701819,Adem bahannyaa,A***r,14,2
84.000,80.0,2.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2024-09-22 18:04:09.701823,Kualitas produk: keren,T***S,22,3
84.000,80.0,10.0,1,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,5.0,4.7,2025-03-18 18:04:09.701828,Alhamdulillah paketnya sudah diterima maaf telat baru d ulas,d***a,60,9
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2025-01-20 18:04:09.701832,Kualitas produk: Bagus adem,a***,27,4
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2024-07-28 18:04:09.701836,"sangat memuaskan, gak nyesel beli nya 🥰",e***¬,39,7
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2024-11-17 18:04:09.701841,Kualitas produk: Bagus,E***a,22,3
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2025-03-06 18:04:09.701845,produk sesuai deskripsi,D***e,23,3
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2025-05-20 18:04:09.701849,Bahan adem,R***l,10,2
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2024-07-31 18:04:09.701854,Adem,M***a,4,1
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2025-04-16 18:04:09.701858,Barang nyaa bagus,u***n,17,3
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2024-11-30 18:04:09.701863,GK dpt sticker,t***4,14,3
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2024-11-28 18:04:09.701867,bagus sukaakk,e***h,13,2
74.000,70.0,0.0,1,Erigo T-Shirt Ring Tee Waren Cream - Kaos Unisex - L,5.0,5.0,2025-05-14 18:04:09.701872,Mantap,A***i,6,1
84.000,100.0,4.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2025-04-08 18:04:09.701876,"bahan adem, sablon juga bagus, ukuran pas. mantap",T***a,49,8
84.000,100.0,14.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2024-10-18 18:04:09.701880,Harga murah kualitas terjamin,T***S,29,4
84.000,100.0,16.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2024-10-25 18:04:09.701885,Bahan ok,i***l,8,2
84.000,100.0,15.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2024-07-28 18:04:09.701889,Gapernah gagal pokonya mh🫰,N***i,26,4
84.000,100.0,8.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2025-05-15 18:04:09.701893,"Bagus, sesuai",P***m,13,2
84.000,100.0,14.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2024-12-05 18:04:09.701898,Mantap barangnya bagus,W***e,22,3
84.000,100.0,8.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2024-11-20 18:04:09.701902,Bagus,O***v,5,1
84.000,100.0,16.0,1,Erigo T-Shirt Stellan Khaki - Kaos Unisex - M,5.0,5.0,2025-06-30 18:04:09.701906,bagus,d***a,5,1
